Địa điểm khởi hành,Địa điểm đến,Hãng hàng không,Số hiệu chuyến bay,Ngày khởi hành,Giờ khởi hành,Giờ đến,Thời gian bay,Giá,Hạng vé
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietravel Airlines,VU792,04/07/2024,00:25,02:30,02h 5m,"1,890,000 VND",ECONOMY
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietravel Airlines,VU750,04/07/2024,05:45,07:50,02h 5m,"2,071,000 VND",ECONOMY
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ1132,04/07/2024,01:20,03:30,02h 10m,"2,009,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ1136,04/07/2024,01:20,03:30,02h 10m,"2,009,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ1138,04/07/2024,23:25,01:35,02h 10m,"2,009,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ160,04/07/2024,23:05,01:15,02h 10m,"2,009,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ162,04/07/2024,21:30,23:40,02h 10m,"2,009,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ164,04/07/2024,23:00,01:10,02h 10m,"2,009,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ176,04/07/2024,21:15,23:25,02h 10m,"2,009,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ180,04/07/2024,23:55,02:05,02h 10m,"2,009,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ182,04/07/2024,04:55,07:10,02h 15m,"2,009,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ192,04/07/2024,22:15,00:25,02h 10m,"2,009,000 VND",Eco
Hồ Chí Minh (SGN),Hà Nội (HAN),Vietjet Air,VJ194,04/07/2024,23:00,01:10,02h 10m,"2,009,000 VND",Eco
